kernel_width,elems_per_pe,left_cycles,middle_cycles,right_cycles,walltime
20,51,847,775,1413,81.69297862052917
20,61,1009,893,1656,81.61857056617737
20,71,1166,1034,1922,81.55879426002502
20,81,1318,1188,2201,81.33945488929749
20,91,1476,1335,2472,81.50741791725159
20,101,1637,1452,2715,81.4430570602417
20,111,1789,1614,3002,81.51554250717163
20,121,1948,1749,3262,81.40198588371277
20,131,2106,1905,3542,81.52923011779785
20,141,2256,2040,3803,81.39331984519958
20,151,2414,2177,4065,81.39275455474854
20,161,2578,2319,4334,81.43757557868958
20,171,2737,2465,4602,81.40512323379517
20,181,2885,2607,4870,81.49419522285461
20,191,3042,2758,5146,81.44499015808105
20,201,3197,2909,5422,81.5193784236908
20,211,3347,3050,5687,81.38347125053406
20,221,3504,3183,5946,81.55024242401123
20,231,3659,3352,6240,81.33264207839966
20,241,3815,3519,6532,81.50672030448914
20,251,3970,3608,6745,81.37758183479309
20,261,4128,3759,7022,81.84632349014282
20,271,4281,3961,7298,81.34512042999268
20,281,4434,4061,7574,81.60553860664368
20,291,4588,4195,7832,81.33645677566528
20,301,4741,4363,8100,81.69048237800598
20,311,4894,4531,8419,81.3551983833313
20,321,5054,4580,8593,81.75383377075195
20,331,5214,4748,8885,81.30666542053223
20,341,5365,4914,9177,81.64138698577881
20,351,5511,5079,9430,81.33965039253235
20,361,5671,5170,9683,81.59123516082764
20,371,5818,5333,9970,81.36891865730286
20,381,5974,5498,10261,81.58572125434875
20,391,6129,5675,10563,81.31956911087036
20,401,6283,5782,10795,81.51480841636658
20,411,6483,6324,11263,81.47480654716492
20,421,6582,6473,11730,81.54102563858032
20,431,6730,6622,12010,81.41894841194153
20,441,6892,6315,11828,81.45857000350952
20,451,7047,6587,12224,81.46085810661316
20,461,7194,6712,12475,81.5179181098938
20,471,7340,7225,-52423,81.4410047531128
20,481,7475,7385,13398,81.47864198684692
20,491,7652,7120,13257,81.54905128479004
24,1,29,59,30,81.46243643760681
24,11,243,227,391,81.55283427238464
24,21,441,394,708,81.37278604507446
24,31,633,567,1032,81.6422905921936
24,41,815,741,1356,81.38659310340881
24,51,1021,926,1691,81.65089917182922
24,61,1206,1093,2008,81.34317421913147
24,71,1391,1276,2341,81.6607391834259
24,81,1568,1449,2664,81.39959692955017
24,91,1758,1628,2992,81.72656321525574
24,101,1949,1801,3316,81.36555194854736
24,111,2135,1978,3643,81.78040361404419
24,121,2320,2149,3964,81.29302144050598
24,131,2521,2334,4298,81.63827395439148
24,141,2706,2508,4616,81.2907726764679
24,151,2877,2668,4933,81.59627223014832
24,161,3073,2858,5273,81.35545206069946
24,171,3266,3038,5602,81.64202547073364
24,181,3450,3207,5926,81.3179841041565
24,191,3630,3375,6240,81.5275239944458
24,201,3833,3567,6582,81.28016471862793
24,211,4005,3733,6897,81.56126666069031
24,221,4223,3916,7231,81.35412764549255
24,231,4386,4084,7549,81.49723672866821
24,241,4554,4242,7857,81.52646708488464
24,251,4780,4443,8192,81.47064328193665
24,261,4951,4611,8526,81.4740400314331
24,271,5140,4777,8842,81.44037127494812
24,281,5328,4961,9176,81.52311253547668
24,291,5518,5124,9488,81.35999369621277
24,301,5713,5297,9812,81.54790782928467
24,311,5892,5466,10131,81.42600989341736
24,321,6067,5651,10460,81.57307982444763
24,331,6261,5818,10788,81.36939692497253
24,341,6439,5984,11099,81.59831666946411
24,351,6630,6159,11424,81.34879350662231
24,361,6817,6339,11754,81.7198417186737
24,371,7003,6505,12069,81.32714486122131
24,381,7188,6675,12391,81.6218364238739
24,391,7366,6847,12712,81.33707880973816
24,401,7550,7022,13037,81.59579944610596
24,411,7731,7204,13368,81.54028630256653
24,421,7925,7368,13675,81.70121669769287
24,431,8108,7532,13997,81.33335852622986
24,441,8290,7704,14319,81.57584977149963
24,451,8453,7893,14657,81.36848592758179
24,461,8642,8054,14969,81.66233134269714
24,471,8830,8221,15287,81.39831066131592
24,481,9020,8389,15604,81.63327121734619
24,491,9177,8573,15937,81.33612847328186
28,1,29,62,30,81.52301692962646
28,11,285,265,456,81.3284056186676
28,21,519,445,811,81.48637652397156
28,31,747,637,1179,81.50936794281006
28,41,971,828,1545,81.57889819145203
28,51,1199,1030,1922,81.48039150238037
28,61,1429,1230,2297,81.48697710037231
28,71,1635,1411,2653,81.48420286178589
28,81,1868,1618,3035,81.4514970779419
28,91,2094,1817,3408,81.5364441871643
28,101,2312,2009,3776,81.37241244316101
28,111,2543,2211,4153,81.5474328994751
28,121,2771,2412,4529,81.75892305374146
28,131,2978,2592,4883,81.51983594894409
28,141,3195,2795,5262,81.27298641204834
28,151,3446,2998,5640,81.51782846450806
28,161,3647,3180,5997,81.35689759254456
28,171,3865,3378,6369,81.6971275806427
28,181,4083,3564,6731,81.44300150871277
28,191,4320,3772,7114,81.6893994808197
28,201,4541,3966,7483,81.52255892753601
28,211,4736,4141,7832,81.79965806007385
28,221,4957,4332,8199,81.34410572052002
28,231,5194,4537,8568,81.6102614402771
28,241,5403,4720,8937,81.35573077201843
28,251,5610,4906,9297,81.65057516098022
28,261,5835,5103,9670,81.3607702255249
28,271,6059,5300,10042,81.59246182441711
28,281,6271,5483,10400,81.3230938911438
28,291,6488,5676,10768,81.64704656600952
28,301,6705,5868,11127,81.3893575668335
28,311,6904,6044,11486,81.53528428077698
28,321,7110,6227,11844,81.40914535522461
28,331,7334,6420,12211,81.48286032676697
28,341,7561,6618,12585,81.39722967147827
28,351,7773,6812,12955,81.48660016059875
28,361,7998,7007,13324,81.45774579048157
28,371,8219,7205,13696,81.3961284160614
28,381,8437,7369,14036,81.51052927970886
28,391,8655,7566,14425,81.47457671165466
28,401,8863,7763,14783,81.59357643127441
28,411,9062,7949,15140,81.4323570728302
28,421,9284,8139,15506,81.59678173065186
28,431,9461,8298,15840,81.33270764350891
28,441,9701,8510,16207,81.573885679245
28,451,9903,8683,16574,81.31965112686157
28,461,10104,8866,16933,81.62449312210083
28,471,10295,9063,17285,81.36431217193604
28,481,10543,9260,17672,81.66309547424316
28,491,10773,9467,18058,81.35773277282715
32,1,29,66,30,81.62235450744629
32,11,326,279,497,81.3575873374939
32,21,575,485,903,81.6931209564209
32,31,815,685,1304,81.35212898254395
32,41,1067,891,1710,81.65101194381714
32,51,1323,1096,2115,81.40736842155457
32,61,1572,1298,2517,81.63393831253052
32,71,1827,1503,2922,81.35461521148682
32,81,2072,1706,3325,81.59464120864868
32,91,2328,1910,3728,81.25534009933472
32,101,2573,2111,4130,81.6149549484253
32,111,2820,2314,4533,81.37320709228516
32,121,3074,2522,4942,81.4781744480133
32,131,3322,2730,5349,81.37055468559265
32,141,3569,2937,5756,81.49683332443237
32,151,3812,3140,6159,81.40246987342834
32,161,4067,3350,6569,81.4216775894165
32,171,4323,3569,6987,81.4437792301178
32,181,4569,3770,7389,81.36707377433777
32,191,4813,3970,7789,81.45218539237976
32,201,5058,4175,8194,81.32841777801514
32,211,5308,4387,8605,81.57032537460327
32,221,5555,4588,9010,81.36141872406006
32,231,5807,4796,9415,81.58152985572815
32,241,6045,4998,9817,81.44019293785095
32,251,6291,5205,10223,81.6268527507782
32,261,6535,5409,10628,81.35024189949036
32,271,6779,5610,11029,81.58613848686218
32,281,7032,5819,11439,81.30517506599426
32,291,7282,6028,11840,81.6838710308075
32,301,7518,6222,12241,81.35196876525879
32,311,7762,6431,12650,81.72560000419617
32,321,8012,6632,13051,81.36246371269226
32,331,8252,6835,13453,81.67690134048462
32,341,8491,7035,13854,81.3406355381012
32,351,8740,7236,14255,81.58137559890747
32,361,8988,7445,14664,81.30719351768494
32,371,9217,7641,15056,81.57741618156433
32,381,9463,7837,15464,81.32712984085083
32,391,9711,8053,15872,81.54195499420166
32,401,9960,8256,16275,81.35581994056702
32,411,10194,8453,16671,81.49619126319885
32,421,10431,8654,17070,81.39653372764587
32,431,10667,8850,17469,81.46985006332397
32,441,10915,9057,17876,81.45536351203918
32,451,11155,9257,18278,81.54550075531006
32,461,11388,9457,18680,81.42777800559998
32,471,11628,9662,19081,81.49904227256775
32,481,11867,9857,19476,81.45263433456421
32,491,12106,10057,19871,81.42910146713257
